county,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,0,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Frank Riggs ,78,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Scott Smith ,246,,,,,,,,,,,,,,,
Santa Cruz ,Governor,,REP,(REP) Andrew P. Thomas ,75,,,,,,,,,,,,,,,
Yavapai ,Governor,,AEL,(AEL) John Lewis Mealer * ,43,,,,,,,,,,,,,,,
Yavapai ,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Yavapai ,Governor,,DEM,(DEM) Fred DuVal * ,"9,104",,,,,,,,,,,,,,,
Yavapai ,Governor,,LBT,(LBT) Barry J. Hess * ,177,,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Mike Aloisi (Write-In) ,2,,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Ken Bennett ,"9,701",,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Doug Ducey * ,"10,302",,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Christine Jones ,"5,474",,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Alice Lukasik (Write-In) ,4,,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Frank Riggs ,"1,687",,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Scott Smith ,"3,636",,,,,,,,,,,,,,,
Yavapai ,Governor,,REP,(REP) Andrew P. Thomas ,"2,756",,,,,,,,,,,,,,,
Yuma,Governor,,AEL,(AEL) John Lewis Mealer * ,22,,,,,,,,,,,,,,,
Yuma,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,0,,,,,,,,,,,,,,,
Yuma,Governor,,DEM,(DEM) Fred DuVal * ,"5,160",,,,,,,,,,,,,,,
Yuma,Governor,,LBT,(LBT) Barry J. Hess * ,68,,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Mike Aloisi (Write-In) ,0,,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Ken Bennett ,"1,036",,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Doug Ducey * ,"2,273",,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Christine Jones ,"2,314",,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Alice Lukasik (Write-In) ,1,,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Frank Riggs ,471,,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Scott Smith ,"1,716",,,,,,,,,,,,,,,
Yuma,Governor,,REP,(REP) Andrew P. Thomas ,709,,,,,,,,,,,,,,,
,Governor,,AEL,(AEL) John Lewis Mealer * ,722,TRUE,,,,,,,,,,,,,,
,Governor,,AEL,(AEL) Janelle Wood (Write-In) ,38,,,,,,,,,,,,,,,
,Governor,,DEM,(DEM) Fred DuVal * ,"271,276",TRUE,,,,,,,,,,,,,,
,Governor,,LBT,(LBT) Barry J. Hess * ,"3,979",TRUE,,,,,,,,,,,,,,
,Governor,,REP,(REP) Mike Aloisi (Write-In) ,27,,,,,,,,,,,,,,,
,Governor,,REP,(REP) Ken Bennett ,"62,010",,,,,,,,,,,,,,,
,Governor,,REP,(REP) Doug Ducey * ,"200,607",TRUE,,,,,,,,,,,,,,
,Governor,,REP,(REP) Christine Jones ,"89,922",,,,,,,,,,,,,,,
,Governor,,REP,(REP) Alice Lukasik (Write-In) ,27,,,,,,,,,,,,,,,
,Governor,,REP,(REP) Frank Riggs ,"24,168",,,,,,,,,,,,,,,
,Governor,,REP,(REP) Scott Smith ,"119,107",,,,,,,,,,,,,,,
,Governor,,REP,(REP) Andrew P. Thomas ,"43,822",,,,,,,,,,,,,,,
Apache ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"11,117",,,,,,,,,,,,,,,
Apache ,Secretary of State,,REP,(REP) Wil Cardon ,822,,,,,,,,,,,,,,,
Apache ,Secretary of State,,REP,(REP) Justin Pierce ,"1,248",,,,,,,,,,,,,,,
Apache ,Secretary of State,,REP,(REP) Michele Reagan * ,"1,354",,,,,,,,,,,,,,,
Cochise ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"6,883",,,,,,,,,,,,,,,
Cochise ,Secretary of State,,REP,(REP) Wil Cardon ,"3,021",,,,,,,,,,,,,,,
Cochise ,Secretary of State,,REP,(REP) Justin Pierce ,"4,936",,,,,,,,,,,,,,,
Cochise ,Secretary of State,,REP,(REP) Michele Reagan * ,"4,854",,,,,,,,,,,,,,,
Coconino ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"10,712",,,,,,,,,,,,,,,
Coconino ,Secretary of State,,REP,(REP) Wil Cardon ,"2,078",,,,,,,,,,,,,,,
Coconino ,Secretary of State,,REP,(REP) Justin Pierce ,"2,281",,,,,,,,,,,,,,,
Coconino ,Secretary of State,,REP,(REP) Michele Reagan * ,"3,502",,,,,,,,,,,,,,,
Gila ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"3,512",,,,,,,,,,,,,,,
Gila ,Secretary of State,,REP,(REP) Wil Cardon ,"1,420",,,,,,,,,,,,,,,
Gila ,Secretary of State,,REP,(REP) Justin Pierce ,"2,390",,,,,,,,,,,,,,,
Gila ,Secretary of State,,REP,(REP) Michele Reagan * ,"2,646",,,,,,,,,,,,,,,
Graham ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"1,297",,,,,,,,,,,,,,,
Graham ,Secretary of State,,REP,(REP) Wil Cardon ,711,,,,,,,,,,,,,,,
Graham ,Secretary of State,,REP,(REP) Justin Pierce ,"1,459",,,,,,,,,,,,,,,
Graham ,Secretary of State,,REP,(REP) Michele Reagan * ,967,,,,,,,,,,,,,,,
Greenlee ,Secretary of State,,DEM,(DEM) Terry Goddard * ,676,,,,,,,,,,,,,,,
Greenlee ,Secretary of State,,REP,(REP) Wil Cardon ,107,,,,,,,,,,,,,,,
Greenlee ,Secretary of State,,REP,(REP) Justin Pierce ,209,,,,,,,,,,,,,,,
Greenlee ,Secretary of State,,REP,(REP) Michele Reagan * ,178,,,,,,,,,,,,,,,
La Paz ,Secretary of State,,DEM,(DEM) Terry Goddard * ,470,,,,,,,,,,,,,,,
La Paz ,Secretary of State,,REP,(REP) Wil Cardon ,340,,,,,,,,,,,,,,,
La Paz ,Secretary of State,,REP,(REP) Justin Pierce ,464,,,,,,,,,,,,,,,
La Paz ,Secretary of State,,REP,(REP) Michele Reagan * ,745,,,,,,,,,,,,,,,
Maricopa ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"146,585",,,,,,,,,,,,,,,
Maricopa ,Secretary of State,,REP,(REP) Wil Cardon ,"62,374",,,,,,,,,,,,,,,
Maricopa ,Secretary of State,,REP,(REP) Justin Pierce ,"102,596",,,,,,,,,,,,,,,
Maricopa ,Secretary of State,,REP,(REP) Michele Reagan * ,"139,015",,,,,,,,,,,,,,,
Mohave ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"5,157",,,,,,,,,,,,,,,
Mohave ,Secretary of State,,REP,(REP) Wil Cardon ,"4,434",,,,,,,,,,,,,,,
Mohave ,Secretary of State,,REP,(REP) Justin Pierce ,"7,265",,,,,,,,,,,,,,,
Mohave ,Secretary of State,,REP,(REP) Michele Reagan * ,"8,057",,,,,,,,,,,,,,,
Navajo ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"7,254",,,,,,,,,,,,,,,
Navajo ,Secretary of State,,REP,(REP) Wil Cardon ,"2,004",,,,,,,,,,,,,,,
Navajo ,Secretary of State,,REP,(REP) Justin Pierce ,"3,161",,,,,,,,,,,,,,,
Navajo ,Secretary of State,,REP,(REP) Michele Reagan * ,"2,839",,,,,,,,,,,,,,,
Pima ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"64,050",,,,,,,,,,,,,,,
Pima ,Secretary of State,,REP,(REP) Wil Cardon ,"19,093",,,,,,,,,,,,,,,
Pima ,Secretary of State,,REP,(REP) Justin Pierce ,"25,383",,,,,,,,,,,,,,,
Pima ,Secretary of State,,REP,(REP) Michele Reagan * ,"27,160",,,,,,,,,,,,,,,
Pinal ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"13,645",,,,,,,,,,,,,,,
Pinal ,Secretary of State,,REP,(REP) Wil Cardon ,"6,337",,,,,,,,,,,,,,,
Pinal ,Secretary of State,,REP,(REP) Justin Pierce ,"7,626",,,,,,,,,,,,,,,
Pinal ,Secretary of State,,REP,(REP) Michele Reagan * ,"10,054",,,,,,,,,,,,,,,
Santa Cruz ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"3,193",,,,,,,,,,,,,,,
Santa Cruz ,Secretary of State,,REP,(REP) Wil Cardon ,393,,,,,,,,,,,,,,,
Santa Cruz ,Secretary of State,,REP,(REP) Justin Pierce ,557,,,,,,,,,,,,,,,
Santa Cruz ,Secretary of State,,REP,(REP) Michele Reagan * ,565,,,,,,,,,,,,,,,
Yavapai ,Secretary of State,,DEM,(DEM) Terry Goddard * ,"9,648",,,,,,,,,,,,,,,
Yavapai ,Secretary of State,,REP,(REP) Wil Cardon ,"6,831",,,,,,,,,,,,,,,
Yavapai ,Secretary of State,,REP,(REP) Justin Pierce ,"11,237",,,,,,,,,,,,,,,
Yavapai ,Secretary of State,,REP,(REP) Michele Reagan * ,"12,743",,,,,,,,,,,,,,,
Yuma,Secretary of State,,DEM,(DEM) Terry Goddard * ,"5,597",,,,,,,,,,,,,,,
Yuma,Secretary of State,,REP,(REP) Wil Cardon ,"1,479",,,,,,,,,,,,,,,
Yuma,Secretary of State,,REP,(REP) Justin Pierce ,"3,610",,,,,,,,,,,,,,,
Yuma,Secretary of State,,REP,(REP) Michele Reagan * ,"3,062",,,,,,,,,,,,,,,
,Secretary of State,,DEM,(DEM) Terry Goddard * ,"289,796",TRUE,,,,,,,,,,,,,,
,Secretary of State,,REP,(REP) Wil Cardon ,"111,444",,,,,,,,,,,,,,,
,Secretary of State,,REP,(REP) Justin Pierce ,"174,422",,,,,,,,,,,,,,,
,Secretary of State,,REP,(REP) Michele Reagan * ,"217,741",TRUE,,,,,,,,,,,,,,
Apache ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"10,743",,,,,,,,,,,,,,,
Apache ,Attorney General,,REP,(REP) Mark Brnovich * ,"1,307",,,,,,,,,,,,,,,
Apache ,Attorney General,,REP,(REP) Tom Horne ,"2,225",,,,,,,,,,,,,,,
Cochise ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"6,523",,,,,,,,,,,,,,,
Cochise ,Attorney General,,REP,(REP) Mark Brnovich * ,"5,056",,,,,,,,,,,,,,,
Cochise ,Attorney General,,REP,(REP) Tom Horne ,"8,177",,,,,,,,,,,,,,,
Coconino ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"10,094",,,,,,,,,,,,,,,
Coconino ,Attorney General,,REP,(REP) Mark Brnovich * ,"4,230",,,,,,,,,,,,,,,
Coconino ,Attorney General,,REP,(REP) Tom Horne ,"3,893",,,,,,,,,,,,,,,
Gila ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"3,256",,,,,,,,,,,,,,,
Gila ,Attorney General,,REP,(REP) Mark Brnovich * ,"3,416",,,,,,,,,,,,,,,
Gila ,Attorney General,,REP,(REP) Tom Horne ,"3,276",,,,,,,,,,,,,,,
Graham ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"1,207",,,,,,,,,,,,,,,
Graham ,Attorney General,,REP,(REP) Mark Brnovich * ,"1,370",,,,,,,,,,,,,,,
Graham ,Attorney General,,REP,(REP) Tom Horne ,"1,786",,,,,,,,,,,,,,,
Greenlee ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,646,,,,,,,,,,,,,,,
Greenlee ,Attorney General,,REP,(REP) Mark Brnovich * ,220,,,,,,,,,,,,,,,
Greenlee ,Attorney General,,REP,(REP) Tom Horne ,282,,,,,,,,,,,,,,,
La Paz ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,424,,,,,,,,,,,,,,,
La Paz ,Attorney General,,REP,(REP) Mark Brnovich * ,639,,,,,,,,,,,,,,,
La Paz ,Attorney General,,REP,(REP) Tom Horne ,963,,,,,,,,,,,,,,,
Maricopa ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"139,734",,,,,,,,,,,,,,,
Maricopa ,Attorney General,,REP,(REP) Mark Brnovich * ,"188,094",,,,,,,,,,,,,,,
Maricopa ,Attorney General,,REP,(REP) Tom Horne ,"126,393",,,,,,,,,,,,,,,
Mohave ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"4,852",,,,,,,,,,,,,,,
Mohave ,Attorney General,,REP,(REP) Mark Brnovich * ,"7,169",,,,,,,,,,,,,,,
Mohave ,Attorney General,,REP,(REP) Tom Horne ,"13,431",,,,,,,,,,,,,,,
Navajo ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"7,199",,,,,,,,,,,,,,,
Navajo ,Attorney General,,REP,(REP) Mark Brnovich * ,"3,840",,,,,,,,,,,,,,,
Navajo ,Attorney General,,REP,(REP) Tom Horne ,"4,359",,,,,,,,,,,,,,,
Pima ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"62,092",,,,,,,,,,,,,,,
Pima ,Attorney General,,REP,(REP) Mark Brnovich * ,"32,745",,,,,,,,,,,,,,,
Pima ,Attorney General,,REP,(REP) Tom Horne ,"41,554",,,,,,,,,,,,,,,
Pinal ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"13,244",,,,,,,,,,,,,,,
Pinal ,Attorney General,,REP,(REP) Mark Brnovich * ,"11,889",,,,,,,,,,,,,,,
Pinal ,Attorney General,,REP,(REP) Tom Horne ,"12,679",,,,,,,,,,,,,,,
Santa Cruz ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"2,987",,,,,,,,,,,,,,,
Santa Cruz ,Attorney General,,REP,(REP) Mark Brnovich * ,689,,,,,,,,,,,,,,,
Santa Cruz ,Attorney General,,REP,(REP) Tom Horne ,881,,,,,,,,,,,,,,,
Yavapai ,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"9,296",,,,,,,,,,,,,,,
Yavapai ,Attorney General,,REP,(REP) Mark Brnovich * ,"16,551",,,,,,,,,,,,,,,
Yavapai ,Attorney General,,REP,(REP) Tom Horne ,"15,336",,,,,,,,,,,,,,,
Yuma,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"5,392",,,,,,,,,,,,,,,
Yuma,Attorney General,,REP,(REP) Mark Brnovich * ,"2,640",,,,,,,,,,,,,,,
Yuma,Attorney General,,REP,(REP) Tom Horne ,"5,623",,,,,,,,,,,,,,,
,Attorney General,,DEM,(DEM) Felecia Rotellini * ,"277,689",TRUE,,,,,,,,,,,,,,
,Attorney General,,REP,(REP) Mark Brnovich * ,"279,855",TRUE,,,,,,,,,,,,,,
,Attorney General,,REP,(REP) Tom Horne ,"240,858",,,,,,,,,,,,,,,
Apache ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,243,,,,,,,,,,,,,,,
Apache ,State Treasurer,,REP,(REP) Jeff DeWit * ,"1,939",,,,,,,,,,,,,,,
Apache ,State Treasurer,,REP,(REP) Hugh Hallman ,778,,,,,,,,,,,,,,,
Apache ,State Treasurer,,REP,(REP) Randy Pullen ,631,,,,,,,,,,,,,,,
Cochise ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,37,,,,,,,,,,,,,,,
Cochise ,State Treasurer,,REP,(REP) Jeff DeWit * ,"6,079",,,,,,,,,,,,,,,
Cochise ,State Treasurer,,REP,(REP) Hugh Hallman ,"3,143",,,,,,,,,,,,,,,
Cochise ,State Treasurer,,REP,(REP) Randy Pullen ,"3,127",,,,,,,,,,,,,,,
Coconino ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,174,,,,,,,,,,,,,,,
Coconino ,State Treasurer,,REP,(REP) Jeff DeWit * ,"3,492",,,,,,,,,,,,,,,
Coconino ,State Treasurer,,REP,(REP) Hugh Hallman ,"2,349",,,,,,,,,,,,,,,
Coconino ,State Treasurer,,REP,(REP) Randy Pullen ,"1,544",,,,,,,,,,,,,,,
Gila ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,49,,,,,,,,,,,,,,,
Gila ,State Treasurer,,REP,(REP) Jeff DeWit * ,"2,979",,,,,,,,,,,,,,,
Gila ,State Treasurer,,REP,(REP) Hugh Hallman ,"1,799",,,,,,,,,,,,,,,
Gila ,State Treasurer,,REP,(REP) Randy Pullen ,"1,291",,,,,,,,,,,,,,,
Graham ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,0,,,,,,,,,,,,,,,
Graham ,State Treasurer,,REP,(REP) Jeff DeWit * ,"1,712",,,,,,,,,,,,,,,
Graham ,State Treasurer,,REP,(REP) Hugh Hallman ,620,,,,,,,,,,,,,,,
Graham ,State Treasurer,,REP,(REP) Randy Pullen ,604,,,,,,,,,,,,,,,
Greenlee ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,5,,,,,,,,,,,,,,,
Greenlee ,State Treasurer,,REP,(REP) Jeff DeWit * ,242,,,,,,,,,,,,,,,
Greenlee ,State Treasurer,,REP,(REP) Hugh Hallman ,104,,,,,,,,,,,,,,,
Greenlee ,State Treasurer,,REP,(REP) Randy Pullen ,108,,,,,,,,,,,,,,,
La Paz ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,3,,,,,,,,,,,,,,,
La Paz ,State Treasurer,,REP,(REP) Jeff DeWit * ,769,,,,,,,,,,,,,,,
La Paz ,State Treasurer,,REP,(REP) Hugh Hallman ,356,,,,,,,,,,,,,,,
La Paz ,State Treasurer,,REP,(REP) Randy Pullen ,343,,,,,,,,,,,,,,,
Maricopa ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,"1,041",,,,,,,,,,,,,,,
Maricopa ,State Treasurer,,REP,(REP) Jeff DeWit * ,"121,587",,,,,,,,,,,,,,,
Maricopa ,State Treasurer,,REP,(REP) Hugh Hallman ,"100,857",,,,,,,,,,,,,,,
Maricopa ,State Treasurer,,REP,(REP) Randy Pullen ,"66,834",,,,,,,,,,,,,,,
Mohave ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,48,,,,,,,,,,,,,,,
Mohave ,State Treasurer,,REP,(REP) Jeff DeWit * ,"9,481",,,,,,,,,,,,,,,
Mohave ,State Treasurer,,REP,(REP) Hugh Hallman ,"4,570",,,,,,,,,,,,,,,
Mohave ,State Treasurer,,REP,(REP) Randy Pullen ,"4,608",,,,,,,,,,,,,,,
Navajo ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,166,,,,,,,,,,,,,,,
Navajo ,State Treasurer,,REP,(REP) Jeff DeWit * ,"4,380",,,,,,,,,,,,,,,
Navajo ,State Treasurer,,REP,(REP) Hugh Hallman ,"1,889",,,,,,,,,,,,,,,
Navajo ,State Treasurer,,REP,(REP) Randy Pullen ,"1,382",,,,,,,,,,,,,,,
Pima ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,728,,,,,,,,,,,,,,,
Pima ,State Treasurer,,REP,(REP) Jeff DeWit * ,"33,596",,,,,,,,,,,,,,,
Pima ,State Treasurer,,REP,(REP) Hugh Hallman ,"20,792",,,,,,,,,,,,,,,
Pima ,State Treasurer,,REP,(REP) Randy Pullen ,"14,099",,,,,,,,,,,,,,,
Pinal ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,160,,,,,,,,,,,,,,,
Pinal ,State Treasurer,,REP,(REP) Jeff DeWit * ,"11,419",,,,,,,,,,,,,,,
Pinal ,State Treasurer,,REP,(REP) Hugh Hallman ,"6,875",,,,,,,,,,,,,,,
Pinal ,State Treasurer,,REP,(REP) Randy Pullen ,"4,881",,,,,,,,,,,,,,,
Santa Cruz ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,16,,,,,,,,,,,,,,,
Santa Cruz ,State Treasurer,,REP,(REP) Jeff DeWit * ,756,,,,,,,,,,,,,,,
Santa Cruz ,State Treasurer,,REP,(REP) Hugh Hallman ,395,,,,,,,,,,,,,,,
Santa Cruz ,State Treasurer,,REP,(REP) Randy Pullen ,311,,,,,,,,,,,,,,,
Yavapai ,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,100,,,,,,,,,,,,,,,
Yavapai ,State Treasurer,,REP,(REP) Jeff DeWit * ,"13,452",,,,,,,,,,,,,,,
Yavapai ,State Treasurer,,REP,(REP) Hugh Hallman ,"9,219",,,,,,,,,,,,,,,
Yavapai ,State Treasurer,,REP,(REP) Randy Pullen ,"6,702",,,,,,,,,,,,,,,
Yuma,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,19,,,,,,,,,,,,,,,
Yuma,State Treasurer,,REP,(REP) Jeff DeWit * ,"4,009",,,,,,,,,,,,,,,
Yuma,State Treasurer,,REP,(REP) Hugh Hallman ,"2,029",,,,,,,,,,,,,,,
Yuma,State Treasurer,,REP,(REP) Randy Pullen ,"1,641",,,,,,,,,,,,,,,
,State Treasurer,,DEM,(DEM) Gerard Davis (Write-In) ,"2,789",,,,,,,,,,,,,,,
,State Treasurer,,REP,(REP) Jeff DeWit * ,"215,892",TRUE,,,,,,,,,,,,,,
,State Treasurer,,REP,(REP) Hugh Hallman ,"155,775",,,,,,,,,,,,,,,
,State Treasurer,,REP,(REP) Randy Pullen ,"108,106",,,,,,,,,,,,,,,
Apache ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"3,461",,,,,,,,,,,,,,,
Apache ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"8,600",,,,,,,,,,,,,,,
Apache ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"2,252",,,,,,,,,,,,,,,
Apache ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"1,132",,,,,,,,,,,,,,,
Cochise ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"3,983",,,,,,,,,,,,,,,
Cochise ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"3,164",,,,,,,,,,,,,,,
Cochise ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"7,667",,,,,,,,,,,,,,,
Cochise ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"5,211",,,,,,,,,,,,,,,
Coconino ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"4,992",,,,,,,,,,,,,,,
Coconino ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"5,414",,,,,,,,,,,,,,,
Coconino ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"4,902",,,,,,,,,,,,,,,
Coconino ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"2,708",,,,,,,,,,,,,,,
Gila ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"1,905",,,,,,,,,,,,,,,
Gila ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"1,716",,,,,,,,,,,,,,,
Gila ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"4,047",,,,,,,,,,,,,,,
Gila ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"2,280",,,,,,,,,,,,,,,
Graham ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,793,,,,,,,,,,,,,,,
Graham ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,624,,,,,,,,,,,,,,,
Graham ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"1,914",,,,,,,,,,,,,,,
Graham ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"1,126",,,,,,,,,,,,,,,
Greenlee ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,508,,,,,,,,,,,,,,,
Greenlee ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,234,,,,,,,,,,,,,,,
Greenlee ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,297,,,,,,,,,,,,,,,
Greenlee ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,173,,,,,,,,,,,,,,,
La Paz ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,213,,,,,,,,,,,,,,,
La Paz ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,272,,,,,,,,,,,,,,,
La Paz ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,936,,,,,,,,,,,,,,,
La Paz ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,572,,,,,,,,,,,,,,,
Maricopa ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"83,629",,,,,,,,,,,,,,,
Maricopa ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"62,689",,,,,,,,,,,,,,,
Maricopa ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"175,747",,,,,,,,,,,,,,,
Maricopa ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"124,073",,,,,,,,,,,,,,,
Mohave ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"2,050",,,,,,,,,,,,,,,
Mohave ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"3,278",,,,,,,,,,,,,,,
Mohave ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"11,447",,,,,,,,,,,,,,,
Mohave ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"7,734",,,,,,,,,,,,,,,
Navajo ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"2,856",,,,,,,,,,,,,,,
Navajo ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"4,952",,,,,,,,,,,,,,,
Navajo ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"5,192",,,,,,,,,,,,,,,
Navajo ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"2,638",,,,,,,,,,,,,,,
Pima ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"34,570",,,,,,,,,,,,,,,
Pima ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"28,666",,,,,,,,,,,,,,,
Pima ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"39,596",,,,,,,,,,,,,,,
Pima ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"32,552",,,,,,,,,,,,,,,
Pinal ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"7,299",,,,,,,,,,,,,,,
Pinal ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"6,495",,,,,,,,,,,,,,,
Pinal ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"13,932",,,,,,,,,,,,,,,
Pinal ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"9,916",,,,,,,,,,,,,,,
Santa Cruz ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"2,407",,,,,,,,,,,,,,,
Santa Cruz ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,952,,,,,,,,,,,,,,,
Santa Cruz ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,900,,,,,,,,,,,,,,,
Santa Cruz ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,604,,,,,,,,,,,,,,,
Yavapai ,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"4,642",,,,,,,,,,,,,,,
Yavapai ,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"4,920",,,,,,,,,,,,,,,
