county,office,district,party,candidate,votes,winner,write-in,,,,,,,,,,,,,,
Yuma,U.S. House,4,REP,Paul Gosar,"11,924",,,,,,,,,,,,,,,,
,U.S. House,4,REP,Paul Gosar,"162,907",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,5,DEM,Spencer Morgan,"89,589",,,,,,,,,,,,,,,,
,U.S. House,5,DEM,Spencer Morgan,"89,589",,,,,,,,,,,,,,,,
Maricopa,U.S. House,5,REP,Matt Salmon,"183,470",,,,,,,,,,,,,,,,
,U.S. House,5,REP,Matt Salmon,"183,470",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,6,DEM,Matt Jette,"97,666",,,,,,,,,,,,,,,,
,U.S. House,6,DEM,Matt Jette,"97,666",,,,,,,,,,,,,,,,
Maricopa,U.S. House,6,GRN,Mark Salazar,"5,637",,,,,,,,,,,,,,,,
,U.S. House,6,GRN,Mark Salazar,"5,637",,,,,,,,,,,,,,,,
Maricopa,U.S. House,6,LBT,Jack Anderson,"10,167",,,,,,,,,,,,,,,,
,U.S. House,6,LBT,Jack Anderson,"10,167",,,,,,,,,,,,,,,,
Maricopa,U.S. House,6,NONE,James Ketover,1,,,,,,,,,,,,,,,,
,U.S. House,6,NONE,James Ketover,1,,,,,,,,,,,,,,,,
Maricopa,U.S. House,6,REP,David Schweikert,"179,706",,,,,,,,,,,,,,,,
,U.S. House,6,REP,David Schweikert,"179,706",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,7,DEM,Ed Pastor,"104,489",,,,,,,,,,,,,,,,
,U.S. House,7,DEM,Ed Pastor,"104,489",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,7,LBT,Joe Cobb,"23,338",,,,,,,,,,,,,,,,
,U.S. House,7,LBT,Joe Cobb,"23,338",,,,,,,,,,,,,,,,
Maricopa,U.S. House,8,AEL,Stephen Dolgos,"4,347",,,,,,,,,,,,,,,,
,U.S. House,8,AEL,Stephen Dolgos,"4,347",,,,,,,,,,,,,,,,
Maricopa,U.S. House,8,DEM,Gene Scharer,"95,635",,,,,,,,,,,,,,,,
,U.S. House,8,DEM,Gene Scharer,"95,635",,,,,,,,,,,,,,,,
Maricopa,U.S. House,8,REP,Trent Franks,"172,809",,,,,,,,,,,,,,,,
,U.S. House,8,REP,Trent Franks,"172,809",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,9,DEM,Kyrsten Sinema,"121,881",,,,,,,,,,,,,,,,
,U.S. House,9,DEM,Kyrsten Sinema,"121,881",TRUE,,,,,,,,,,,,,,,
Maricopa,U.S. House,9,LBT,Powell Gammill,"16,620",,,,,,,,,,,,,,,,
,U.S. House,9,LBT,Powell Gammill,"16,620",,,,,,,,,,,,,,,,
Maricopa,U.S. House,9,REP,Vernon B. Parker,"111,630",,,,,,,,,,,,,,,,
,U.S. House,9,REP,Vernon B. Parker,"111,630",,,,,,,,,,,,,,,,
Maricopa,State Senate,1,IND,(IND) Tom Rawles,"7,719",,,,,,,,,,,,,,,,
Maricopa,State Senate,1,REP,(REP) Steve Pierce,"19,640",,,,,,,,,,,,,,,,
Yavapai,State Senate,1,IND,(IND) Tom Rawles,"18,937",,,,,,,,,,,,,,,,
Yavapai,State Senate,1,REP,(REP) Steve Pierce,"46,348",,,,,,,,,,,,,,,,
,State Senate,1,IND,(IND) Tom Rawles,"26,656",,,,,,,,,,,,,,,,
,State Senate,1,REP,(REP) Steve Pierce,"65,988",TRUE,,,,,,,,,,,,,,,
Pima,State Senate,2,DEM,Linda Lopez,"30,313",,,,,,,,,,,,,,,,
Pima,State Senate,2,REP,(REP) Don Woolley (Write-In),"1,072",,,,,,,,,,,,,,,,
Santa Cruz,State Senate,2,DEM,Linda Lopez,"9,277",,,,,,,,,,,,,,,,
Santa Cruz,State Senate,2,REP,(REP) Don Woolley (Write-In),191,,,,,,,,,,,,,,,,
,State Senate,2,DEM,Linda Lopez,"39,590",TRUE,,,,,,,,,,,,,,,
,State Senate,2,REP,(REP) Don Woolley (Write-In),"1,263",,,,,,,,,,,,,,,,
Pima,State Senate,3,DEM,Olivia Cajero Bedford,"43,084",,,,,,,,,,,,,,,,
,State Senate,3,DEM,Olivia Cajero Bedford,"43,084",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,4,DEM,Lynne Pancrazi,"9,676",,,,,,,,,,,,,,,,
Pima,State Senate,4,DEM,Lynne Pancrazi,"6,524",,,,,,,,,,,,,,,,
Pinal,State Senate,4,DEM,Lynne Pancrazi,103,,,,,,,,,,,,,,,,
Yuma,State Senate,4,DEM,Lynne Pancrazi,"13,520",,,,,,,,,,,,,,,,
,State Senate,4,DEM,Lynne Pancrazi,"29,823",TRUE,,,,,,,,,,,,,,,
La Paz,State Senate,5,DEM,(DEM) Beth Weisser,"1,761",,,,,,,,,,,,,,,,
La Paz,State Senate,5,REP, (REP) Kelli Ward,"3,493",,,,,,,,,,,,,,,,
Mohave,State Senate,5,DEM,(DEM) Beth Weisser,"18,279",,,,,,,,,,,,,,,,
Mohave,State Senate,5,REP, (REP) Kelli Ward,"46,120",,,,,,,,,,,,,,,,
,State Senate,5,DEM,(DEM) Beth Weisser,"20,040",,,,,,,,,,,,,,,,
,State Senate,5,REP, (REP) Kelli Ward,"49,613",TRUE,,,,,,,,,,,,,,,
Coconino,State Senate,6,DEM,(DEM) Tom Chabin,"21,678",,,,,,,,,,,,,,,,
Coconino,State Senate,6,REP, (REP) Chester Crandell,"14,779",,,,,,,,,,,,,,,,
Gila,State Senate,6,DEM,(DEM) Tom Chabin,"3,655",,,,,,,,,,,,,,,,
Gila,State Senate,6,REP, (REP) Chester Crandell,"8,552",,,,,,,,,,,,,,,,
Navajo,State Senate,6,DEM,(DEM) Tom Chabin,"2,544",,,,,,,,,,,,,,,,
Navajo,State Senate,6,REP, (REP) Chester Crandell,"8,114",,,,,,,,,,,,,,,,
Yavapai,State Senate,6,DEM,(DEM) Tom Chabin,"12,056",,,,,,,,,,,,,,,,
Yavapai,State Senate,6,REP, (REP) Chester Crandell,"13,660",,,,,,,,,,,,,,,,
,State Senate,6,DEM,(DEM) Tom Chabin,"39,933",,,,,,,,,,,,,,,,
,State Senate,6,REP, (REP) Chester Crandell,"45,105",TRUE,,,,,,,,,,,,,,,
Apache,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.","19,709",,,,,,,,,,,,,,,,
Coconino,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.","10,275",,,,,,,,,,,,,,,,
Gila,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.","1,269",,,,,,,,,,,,,,,,
Graham,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.",961,,,,,,,,,,,,,,,,
Mohave,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.",201,,,,,,,,,,,,,,,,
Navajo,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.","17,224",,,,,,,,,,,,,,,,
Pinal,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.",0,,,,,,,,,,,,,,,,
,State Senate,7,DEM,"(DEM) Jack C. Jackson, Jr.","49,639",TRUE,,,,,,,,,,,,,,,
Gila,State Senate,8,DEM,(DEM) Barbara McGuire,"3,532",,,,,,,,,,,,,,,,
Gila,State Senate,8,LBT, (LBT) Dean Dill,383,,,,,,,,,,,,,,,,
Pinal,State Senate,8,DEM,(DEM) Barbara McGuire,"21,494",,,,,,,,,,,,,,,,
Pinal,State Senate,8,LBT, (LBT) Dean Dill,"2,187",,,,,,,,,,,,,,,,
,State Senate,8,DEM,(DEM) Barbara McGuire,"25,026",TRUE,,,,,,,,,,,,,,,
,State Senate,8,LBT, (LBT) Dean Dill,"2,570",,,,,,,,,,,,,,,,
Gila,State Senate,8,REP,(REP) Joe Ortiz,"2,303",,,,,,,,,,,,,,,,
Pinal,State Senate,8,REP,(REP) Joe Ortiz,"21,239",,,,,,,,,,,,,,,,
,State Senate,8,REP,(REP) Joe Ortiz,"23,542",,,,,,,,,,,,,,,,
Pima,State Senate,9,DEM,(DEM) Steve Farley,"49,818",,,,,,,,,,,,,,,,
Pima,State Senate,9,REP, (REP) Tyler Mott,"39,562",,,,,,,,,,,,,,,,
,State Senate,9,DEM,(DEM) Steve Farley,"49,818",TRUE,,,,,,,,,,,,,,,
,State Senate,9,REP, (REP) Tyler Mott,"39,562",,,,,,,,,,,,,,,,
Pima,State Senate,10,DEM,(DEM) David Bradley,"48,509",,,,,,,,,,,,,,,,
Pima,State Senate,10,REP, (REP) Frank Antenori,"40,193",,,,,,,,,,,,,,,,
,State Senate,10,DEM,(DEM) David Bradley,"48,509",TRUE,,,,,,,,,,,,,,,
,State Senate,10,REP, (REP) Frank Antenori,"40,193",,,,,,,,,,,,,,,,
Pima,State Senate,11,DEM,(DEM) Jo Holt,"24,281",,,,,,,,,,,,,,,,
Pima,State Senate,11,REP, (REP) Al Melvin,"32,042",,,,,,,,,,,,,,,,
Pinal,State Senate,11,DEM,(DEM) Jo Holt,"13,147",,,,,,,,,,,,,,,,
Pinal,State Senate,11,REP, (REP) Al Melvin,"16,325",,,,,,,,,,,,,,,,
,State Senate,11,DEM,(DEM) Jo Holt,"37,428",,,,,,,,,,,,,,,,
,State Senate,11,REP, (REP) Al Melvin,"48,367",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,12,REP,(REP) Andy Biggs,"63,296",,,,,,,,,,,,,,,,
Pinal,State Senate,12,REP,(REP) Andy Biggs,516,,,,,,,,,,,,,,,,
,State Senate,12,REP,(REP) Andy Biggs,"63,812",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,13,REP,(REP) Don Shooter,"31,892",,,,,,,,,,,,,,,,
Yavapai,State Senate,13,REP,(REP) Don Shooter,0,,,,,,,,,,,,,,,,
Yuma,State Senate,13,REP,(REP) Don Shooter,"16,240",,,,,,,,,,,,,,,,
,State Senate,13,REP,(REP) Don Shooter,"48,132",TRUE,,,,,,,,,,,,,,,
Cochise,State Senate,14,DEM,(DEM) Patricia V. Fleming,"19,068",,,,,,,,,,,,,,,,
Cochise,State Senate,14,REP, (REP) Gail Griffin,"28,185",,,,,,,,,,,,,,,,
Graham,State Senate,14,DEM,(DEM) Patricia V. Fleming,"2,877",,,,,,,,,,,,,,,,
Graham,State Senate,14,REP, (REP) Gail Griffin,"7,363",,,,,,,,,,,,,,,,
Greenlee,State Senate,14,DEM,(DEM) Patricia V. Fleming,"1,410",,,,,,,,,,,,,,,,
Greenlee,State Senate,14,REP, (REP) Gail Griffin,"1,349",,,,,,,,,,,,,,,,
Pima,State Senate,14,DEM,(DEM) Patricia V. Fleming,"7,453",,,,,,,,,,,,,,,,
Pima,State Senate,14,REP, (REP) Gail Griffin,"12,750",,,,,,,,,,,,,,,,
,State Senate,14,DEM,(DEM) Patricia V. Fleming,"30,808",,,,,,,,,,,,,,,,
,State Senate,14,REP, (REP) Gail Griffin,"49,647",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,15,LBT,(LBT) Dennis Grenier,"21,384",,,,,,,,,,,,,,,,
Maricopa,State Senate,15,REP, (REP) Nancy Barto,"58,213",,,,,,,,,,,,,,,,
,State Senate,15,LBT,(LBT) Dennis Grenier,"21,384",,,,,,,,,,,,,,,,
,State Senate,15,REP, (REP) Nancy Barto,"58,213",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,16,DEM,(DEM) Scott Prior,"16,100",,,,,,,,,,,,,,,,
Maricopa,State Senate,16,REP, (REP) Rich Crandall,"29,134",,,,,,,,,,,,,,,,
Pinal,State Senate,16,DEM,(DEM) Scott Prior,"9,453",,,,,,,,,,,,,,,,
Pinal,State Senate,16,REP, (REP) Rich Crandall,"16,452",,,,,,,,,,,,,,,,
,State Senate,16,DEM,(DEM) Scott Prior,"25,553",,,,,,,,,,,,,,,,
,State Senate,16,REP, (REP) Rich Crandall,"45,586",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,17,DEM,(DEM) Bill Gates,"36,349",,,,,,,,,,,,,,,,
Maricopa,State Senate,17,REP, (REP) Steve Yarbrough,"48,581",,,,,,,,,,,,,,,,
,State Senate,17,DEM,(DEM) Bill Gates,"36,349",,,,,,,,,,,,,,,,
,State Senate,17,REP, (REP) Steve Yarbrough,"48,581",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,18,DEM,(DEM) Janie Hydrick,"45,115",,,,,,,,,,,,,,,,
Maricopa,State Senate,18,REP, (REP) John McComish,"51,084",,,,,,,,,,,,,,,,
,State Senate,18,DEM,(DEM) Janie Hydrick,"45,115",,,,,,,,,,,,,,,,
,State Senate,18,REP, (REP) John McComish,"51,084",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,19,DEM,(DEM) Anna Tovar,"31,473",,,,,,,,,,,,,,,,
,State Senate,19,DEM,(DEM) Anna Tovar,"31,473",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,20,DEM,(DEM) Michael Powell,"26,987",,,,,,,,,,,,,,,,
Maricopa,State Senate,20,IND, (IND) Doug 'Q' Quelland,"8,829",,,,,,,,,,,,,,,,
Maricopa,State Senate,20,REP, (REP) Kimberly Yee,"37,371",,,,,,,,,,,,,,,,
,State Senate,20,DEM,(DEM) Michael Powell,"26,987",,,,,,,,,,,,,,,,
,State Senate,20,IND, (IND) Doug 'Q' Quelland,"8,829",,,,,,,,,,,,,,,,
,State Senate,20,REP, (REP) Kimberly Yee,"37,371",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,21,DEM,(DEM) Michael Tarrats,"30,087",,,,,,,,,,,,,,,,
Maricopa,State Senate,21,REP, (REP) Rick Murphy,"44,369",,,,,,,,,,,,,,,,
,State Senate,21,DEM,(DEM) Michael Tarrats,"30,087",,,,,,,,,,,,,,,,
,State Senate,21,REP, (REP) Rick Murphy,"44,369",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,22,REP,(REP) Judy M. Burges,"72,211",,,,,,,,,,,,,,,,
,State Senate,22,REP,(REP) Judy M. Burges,"72,211",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,23,REP,(REP) Michele Reagan,"82,278",,,,,,,,,,,,,,,,
,State Senate,23,REP,(REP) Michele Reagan,"82,278",,,,,,,,,,,,,,,,
Maricopa,State Senate,24,DEM,(DEM) Katie Hobbs,"38,142",,,,,,,,,,,,,,,,
Maricopa,State Senate,24,REP," (REP) Augustine ""Auggie"" Bartning","19,326",,,,,,,,,,,,,,,,
,State Senate,24,DEM,(DEM) Katie Hobbs,"38,142",TRUE,,,,,,,,,,,,,,,
,State Senate,24,REP," (REP) Augustine ""Auggie"" Bartning","19,326",,,,,,,,,,,,,,,,
Maricopa,State Senate,25,DEM,(DEM) Greg Gadek,"27,720",,,,,,,,,,,,,,,,
Maricopa,State Senate,25,REP, (REP) Bob Worsley,"55,290",,,,,,,,,,,,,,,,
,State Senate,25,DEM,(DEM) Greg Gadek,"27,720",,,,,,,,,,,,,,,,
,State Senate,25,REP, (REP) Bob Worsley,"55,290",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,26,DEM,(DEM) Ed Ableser,"26,051",,,,,,,,,,,,,,,,
Maricopa,State Senate,26,LBT, (LBT) Damian Trabel,"2,747",,,,,,,,,,,,,,,,
Maricopa,State Senate,26,REP, (REP) Jerry Lewis,"19,442",,,,,,,,,,,,,,,,
,State Senate,26,DEM,(DEM) Ed Ableser,"26,051",TRUE,,,,,,,,,,,,,,,
,State Senate,26,LBT, (LBT) Damian Trabel,"2,747",,,,,,,,,,,,,,,,
,State Senate,26,REP, (REP) Jerry Lewis,"19,442",,,,,,,,,,,,,,,,
Maricopa,State Senate,27,DEM,(DEM) Leah Landrum,"33,137",,,,,,,,,,,,,,,,
Maricopa,State Senate,27,REP, (REP) Sarah Coleman,"10,333",,,,,,,,,,,,,,,,
,State Senate,27,DEM,(DEM) Leah Landrum,"33,137",TRUE,,,,,,,,,,,,,,,
,State Senate,27,REP, (REP) Sarah Coleman,"10,333",,,,,,,,,,,,,,,,
Maricopa,State Senate,28,DEM,(DEM) Eric Shelley,"39,243",,,,,,,,,,,,,,,,
Maricopa,State Senate,28,REP, (REP) Adam Driggs,"49,160",,,,,,,,,,,,,,,,
,State Senate,28,DEM,(DEM) Eric Shelley,"39,243",,,,,,,,,,,,,,,,
,State Senate,28,REP, (REP) Adam Driggs,"49,160",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,29,DEM,(DEM) Steve Gallardo,"27,931",,,,,,,,,,,,,,,,
,State Senate,29,DEM,(DEM) Steve Gallardo,"27,931",TRUE,,,,,,,,,,,,,,,
Maricopa,State Senate,30,DEM,(DEM) Robert Meza,"27,485",,,,,,,,,,,,,,,,
,State Senate,30,DEM,(DEM) Robert Meza,"27,485",TRUE,,,,,,,,,,,,,,,
