county,precinct,office,district,party,seats,candidate,votes
Gila,Globe No. 1,U.S. Senate,,LBT,1,Write-In Totals,0
Gila,Globe No. 1,U.S. Senate,,LBT,1,Total Votes Cast,0
Gila,Globe No. 1,U.S. Senate,,LBT,1,Overvotes,0
Gila,Globe No. 1,U.S. Senate,,LBT,1,Undervotes,0
Gila,Globe No. 1,U.S. House,2,LBT,1,Write-In Totals,0
Gila,Globe No. 1,U.S. House,2,LBT,1,Total Votes Cast,0
Gila,Globe No. 1,U.S. House,2,LBT,1,Overvotes,0
Gila,Globe No. 1,U.S. House,2,LBT,1,Undervotes,0
Gila,Globe No. 1,State Senate,7,LBT,1,Write-In Totals,0
Gila,Globe No. 1,State Senate,7,LBT,1,Total Votes Cast,0
Gila,Globe No. 1,State Senate,7,LBT,1,Overvotes,0
Gila,Globe No. 1,State Senate,7,LBT,1,Undervotes,0
Gila,Globe No. 1,State House,7,LBT,2,Write-In Totals,0
Gila,Globe No. 1,State House,7,LBT,2,Total Votes Cast,0
Gila,Globe No. 1,State House,7,LBT,2,Overvotes,0
Gila,Globe No. 1,State House,7,LBT,2,Undervotes,0
Gila,Globe No. 1,Corporation Commissioner,,LBT,3,Write-In Totals,0
Gila,Globe No. 1,Corporation Commissioner,,LBT,3,Total Votes Cast,0
Gila,Globe No. 1,Corporation Commissioner,,LBT,3,Overvotes,0
Gila,Globe No. 1,Corporation Commissioner,,LBT,3,Undervotes,0
Gila,Globe No. 1,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0
Gila,Globe No. 1,U.S. Senate,,GRN,1,Michael NORTON,0
Gila,Globe No. 1,U.S. Senate,,GRN,1,Write-In Totals,0
Gila,Globe No. 1,U.S. Senate,,GRN,1,Total Votes Cast,0
Gila,Globe No. 1,U.S. Senate,,GRN,1,Overvotes,0
Gila,Globe No. 1,U.S. Senate,,GRN,1,Undervotes,0
Gila,Globe No. 1,U.S. House,2,GRN,1,Write-In Totals,0
Gila,Globe No. 1,U.S. House,2,GRN,1,Total Votes Cast,0
Gila,Globe No. 1,U.S. House,2,GRN,1,Overvotes,0
Gila,Globe No. 1,U.S. House,2,GRN,1,Undervotes,0
Gila,Globe No. 1,State Senate,7,GRN,1,Write-In Totals,0
Gila,Globe No. 1,State Senate,7,GRN,1,Total Votes Cast,0
Gila,Globe No. 1,State Senate,7,GRN,1,Overvotes,0
Gila,Globe No. 1,State Senate,7,GRN,1,Undervotes,0
Gila,Globe No. 1,State House,7,GRN,2,Write-In Totals,0
Gila,Globe No. 1,State House,7,GRN,2,Total Votes Cast,0
Gila,Globe No. 1,State House,7,GRN,2,Overvotes,0
Gila,Globe No. 1,State House,7,GRN,2,Undervotes,0
Gila,Globe No. 1,Corporation Commissioner,,GRN,3,Write-In Totals,0
Gila,Globe No. 1,Corporation Commissioner,,GRN,3,Total Votes Cast,0
Gila,Globe No. 1,Corporation Commissioner,,GRN,3,Overvotes,0
Gila,Globe No. 1,Corporation Commissioner,,GRN,3,Undervotes,0
Gila,Globe No. 1,No Labels Notice,,NOL,1,No Candidate Nominated,0
Gila,Globe No. 1,No Labels Notice,,NOL,1,Total Votes Cast,0
Gila,Globe No. 1,No Labels Notice,,NOL,1,Overvotes,0
Gila,Globe No. 1,No Labels Notice,,NOL,1,Undervotes,0
Gila,Globe No. 2,Registered Voters - Total,,,,,224
Gila,Globe No. 2,Registered Voters - Nonpartisan,,Nonpartisan,,,61
Gila,Globe No. 2,Registered Voters - Republican,,REP,,,18
Gila,Globe No. 2,Registered Voters - Democratic,,DEM,,,82
Gila,Globe No. 2,Registered Voters - Libertarian,,LBT,,,2
Gila,Globe No. 2,Registered Voters - Green,,GRN,,,0
Gila,Globe No. 2,Registered Voters - No Labels Party,,NOL,,,1
Gila,Globe No. 2,Ballots Cast - Total,,,,,91
Gila,Globe No. 2,Ballots Cast - Nonpartisan,,Nonpartisan,,,1
Gila,Globe No. 2,Ballots Cast - Republican,,REP,,,43
Gila,Globe No. 2,Ballots Cast - Democratic,,DEM,,,46
Gila,Globe No. 2,Ballots Cast - Libertarian,,LBT,,,1
Gila,Globe No. 2,Ballots Cast - Green,,GRN,,,0
Gila,Globe No. 2,Ballots Cast - No Labels Party,,NOL,,,0
Gila,Globe No. 2,Ballots Cast - Blank,,,,,0
Gila,Globe No. 2,Mayor City of Globe,,,1,Alfred GAMEROS,74
Gila,Globe No. 2,Mayor City of Globe,,,1,Write-In Totals,3
Gila,Globe No. 2,Mayor City of Globe,,,1,Total Votes Cast,77
Gila,Globe No. 2,Mayor City of Globe,,,1,Overvotes,0
Gila,Globe No. 2,Mayor City of Globe,,,1,Undervotes,14
Gila,Globe No. 2,Proposition 412,City of Globe,,1,YES,48
Gila,Globe No. 2,Proposition 412,City of Globe,,1,NO,32
Gila,Globe No. 2,Proposition 412,City of Globe,,1,Total Votes Cast,80
Gila,Globe No. 2,Proposition 412,City of Globe,,1,Overvotes,0
Gila,Globe No. 2,Proposition 412,City of Globe,,1,Undervotes,11
Gila,Globe No. 2,U.S. Senate,,REP,1,Kari LAKE,23
Gila,Globe No. 2,U.S. Senate,,REP,1,Mark LAMB,18
Gila,Globe No. 2,U.S. Senate,,REP,1,Elizabeth Jean REYE,2
Gila,Globe No. 2,U.S. Senate,,REP,1,Write-In Totals,0
Gila,Globe No. 2,U.S. Senate,,REP,1,Total Votes Cast,43
Gila,Globe No. 2,U.S. Senate,,REP,1,Overvotes,0
Gila,Globe No. 2,U.S. Senate,,REP,1,Undervotes,0
Gila,Globe No. 2,U.S. House,2,REP,1,Eli CRANE,34
Gila,Globe No. 2,U.S. House,2,REP,1,Jack SMITH,5
Gila,Globe No. 2,U.S. House,2,REP,1,Write-In Totals,1
Gila,Globe No. 2,U.S. House,2,REP,1,Total Votes Cast,40
Gila,Globe No. 2,U.S. House,2,REP,1,Overvotes,1
Gila,Globe No. 2,U.S. House,2,REP,1,Undervotes,2
Gila,Globe No. 2,State Senate,7,REP,1,David COOK,21
Gila,Globe No. 2,State Senate,7,REP,1,Wendy ROGERS,22
Gila,Globe No. 2,State Senate,7,REP,1,Write-In Totals,0
Gila,Globe No. 2,State Senate,7,REP,1,Total Votes Cast,43
Gila,Globe No. 2,State Senate,7,REP,1,Overvotes,0
Gila,Globe No. 2,State Senate,7,REP,1,Undervotes,0
Gila,Globe No. 2,State House,7,REP,2,"Walter ""Walt"" BLACKMAN",13
Gila,Globe No. 2,State House,7,REP,2,Andrew COSTANZO,12
Gila,Globe No. 2,State House,7,REP,2,John FILLMORE,9
Gila,Globe No. 2,State House,7,REP,2,Barby INGLE,4
Gila,Globe No. 2,State House,7,REP,2,David MARSHALL SR.,14
Gila,Globe No. 2,State House,7,REP,2,Steven SLATON,16
Gila,Globe No. 2,State House,7,REP,2,Write-In Totals,0
Gila,Globe No. 2,State House,7,REP,2,Total Votes Cast,68
Gila,Globe No. 2,State House,7,REP,2,Overvotes,0
Gila,Globe No. 2,State House,7,REP,2,Undervotes,18
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Rene LOPEZ,25
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Lea MARQUEZ PETERSON,27
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Rachel WALDEN,33
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Write-In Totals,0
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Total Votes Cast,85
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Overvotes,0
Gila,Globe No. 2,Corporation Commissioner,,REP,3,Undervotes,44
Gila,Globe No. 2,Board of Supervisors,3,REP,1,Woody CLINE,22
Gila,Globe No. 2,Board of Supervisors,3,REP,1,Kelly PARKS,17
Gila,Globe No. 2,Board of Supervisors,3,REP,1,Write-In Totals,0
Gila,Globe No. 2,Board of Supervisors,3,REP,1,Total Votes Cast,39
Gila,Globe No. 2,Board of Supervisors,3,REP,1,Overvotes,0
